"location","zipcode","urban","population","r_vote","migration"
"Gravity Falls","Zip  15265",1,24649,-4.95875276225734,-29.2848951956209
"Alphaville","ZIP:  18476",0,164039,18.5201495586732,50.9443205910604
"Janestown","Zip  18740",1,3092,-2.22666296467269,2.11025034826561
"Krasnoy","15622",1,113419,-12.1511550247191,-4.93488939467638
"Janestown","ZIP is  17566",1,3092,-2.8453284970818,-12.6872540615818
"Castle Rock","ZIP is  15062",1,65658,-8.47924038340861,-13.345533494246
"Hilltop","ZIP is  14415",1,15690,-3.79014612745848,-2.57363467748602
"Hilltop","ZIP:  15494",1,15690,-2.99586816003486,-6.59223919083215
"Dogville","15812",0,25764,3.49288036257497,31.340083502819
"Alphaville","ZIP is  17463",0,164039,16.9150697608758,50.7200651414442
"Hilltop","17285",1,15690,-3.55679850971247,-11.5119338679481
"Dogville","ZIP is  18018",0,25764,2.73093928241388,14.0208762763611
"Gravity Falls","Zip  18335",1,24649,-1.42831949476833,33.7198806570637
"Krasnoy","ZIP:  14200",1,113419,-12.3375723083684,-9.70081765628404
"Innsmouth","18090",1,51682,-8.19181926140042,-19.0968244394995
"Janestown","Zip  17095",1,3092,-2.14038040211845,-6.56440018773632
"Innsmouth","ZIP is  17132",1,51682,-6.64849972423553,6.15435476942406
"Hilltop","18132",1,15690,-4.22419323429986,-15.0672794705276
"Ebbing","ZIP is  17323",0,83511,9.06753516143276,36.7957815583724
"Innsmouth","ZIP is  15941",1,51682,-6.90506005647561,-7.17805729705756
"Gravity Falls","ZIP is  17950",1,24649,-6.12752115140533,-21.4338289340333
"Castle Rock","Zip  15378",1,65658,-7.81019791250347,2.2683370241397
"Gravity Falls","17897",1,24649,-4.99324726084451,-14.8982332623141
"Dogville","15203",0,25764,2.66867281027905,14.4739962108673
"Alphaville","ZIP:  17522",0,164039,16.8021768590095,38.1712927094398
"Gravity Falls","ZIP is  14341",1,24649,-3.82403650208653,-4.96747741654873
"Castle Rock","ZIP is  17991",1,65658,-9.62138566458113,-34.3279035912803
"Gravity Falls","17234",1,24649,-3.52390614392238,2.3897449492653
"Castle Rock","ZIP:  18713",1,65658,-8.90577239195662,-17.1447800129733
"Ebbing","Zip  17525",0,83511,7.78604222210821,21.154362934622
"Castle Rock","ZIP is  15583",1,65658,-6.87011153327241,-0.773316042496466
"Belleville","ZIP:  15648",1,57290,-6.39216275887685,9.88157436785647
"Dogville","ZIP is  14807",0,25764,2.30291051418709,12.8704263833663
"Dogville","ZIP is  16502",0,25764,3.60426013235328,22.6285006509726
"Belleville","ZIP is  17692",1,57290,-7.37672006315312,-10.3277854440631
"Ebbing","ZIP is  17911",0,83511,7.72823037352059,20.6282034823012
