"Location","zipcode","rent"
"Gravity Falls","ZIP:  15265",2.83057633416197
"Alphaville","ZIP:  18476",-3.23462359321868
"Janestown","ZIP:  18740",0.0219126445247202
"Krasnoy","ZIP is  15622",-0.649857400458475
"Janestown","ZIP:  17566",1.11289924895923
"Castle Rock","ZIP:  15062",0.835695064566528
"Hilltop","ZIP:  14415",0.00869337400262982
"Hilltop","ZIP:  15494",0.456263026548126
"Dogville","Zip  15812",-2.47388493123772
"Alphaville","ZIP:  17463",-3.07236699156366
"Hilltop","ZIP is  17285",0.841277080934212
"Dogville","Zip  18018",-0.837378088294707
"Gravity Falls","ZIP is  18335",-3.57356620627857
"Krasnoy","ZIP is  14200",-0.250568898884718
"Innsmouth","ZIP is  18090",1.60042041539176
"Janestown","Zip  17095",0.637327102880374
"Innsmouth","ZIP:  17132",-1.01615251139469
"Hilltop","Zip  18132",1.31863380638936
"Ebbing","Zip  17323",-2.42322546380042
"Innsmouth","Zip  15941",0.167192554298244
"Gravity Falls","Zip  17950",1.97987151252699
"Castle Rock","ZIP:  15378",-0.771228874884243
"Gravity Falls","ZIP:  17897",1.15422107187568
"Dogville","15203",-0.958255037277552
"Alphaville","ZIP:  17522",-1.98628520405539
"Gravity Falls","14341",0.142856093559075
"Castle Rock","Zip  17991",2.72771048616433
"Gravity Falls","ZIP is  17234",-0.564956879489372
"Castle Rock","ZIP is  18713",1.11216212278398
"Ebbing","ZIP is  17525",-1.00729112233165
"Castle Rock","Zip  15583",-0.661175376463275
"Belleville","ZIP:  15648",-1.52764571016156
"Dogville","Zip  14807",-0.683394640224708
"Dogville","16502",-1.78154784096304
"Belleville","Zip  17692",0.239345161414226
"Ebbing","17911",-0.992460606099135
"Alphaville","Zip  16663",-1.75103382544988
"Hilltop","18597",0.446065550484364
"Innsmouth","ZIP is  14719",0.571179470825134
"Alphaville","ZIP is  17023",-1.75036223749873
"Gravity Falls","ZIP is  15255",1.01360270698805
"Castle Rock","ZIP:  16475",0.574700201448477
"Krasnoy","ZIP:  14483",-0.794861282294393
"Janestown","ZIP:  18868",0.91915381609659
"Belleville","ZIP:  18024",0.100958060892696
"Alphaville","ZIP:  18027",1.55401324079172
"Ebbing","ZIP is  14278",-2.39710367095522
"Gravity Falls","ZIP:  17742",-0.424834725645621
"Castle Rock","ZIP is  16364",0.442181521916609
"Flagstone","Zip  18618",-0.851744847962993
"Gravity Falls","ZIP is  15151",1.21233227646893
"Hilltop","ZIP:  14932",0.424923841169121
"Janestown","Zip  18750",0.955310978232584
"Innsmouth","Zip  18184",0.306283666680395
"Krasnoy","14133",0.0712694917618166
"Gravity Falls","17597",-0.450338434041767
"Janestown","ZIP:  18862",-0.610290224589849
"Belleville","ZIP is  14302",0.341859690796799
"Dogville","Zip  17071",-2.74866725240304
"Ebbing","14926",-0.797150329813503
"Krasnoy","ZIP:  16920",0.270975296330695
"Innsmouth","Zip  16082",1.03371713268032
"Ebbing","ZIP:  18321",-1.17514323334934
"Gravity Falls","Zip  16955",0.242464738289519
"Janestown","15614",2.19915813865317
"Belleville","15623",0.412079837861312
"Innsmouth","17305",2.04662552696794
"Innsmouth","Zip  14858",0.123741029329311
"Ebbing","ZIP is  18230",-1.40795328981002
"Alphaville","ZIP is  16254",0.557740151090563
"Gravity Falls","ZIP is  15589",0.109167889609016
"Gravity Falls","14898",0.807032643099235
"Janestown","ZIP:  18368",0.0154092164694397
"Belleville","Zip  14940",-0.679264566455732
"Dogville","ZIP:  17415",-3.01820073721082
"Krasnoy","15211",2.59736673489732
"Krasnoy","18772",0.730663367749733
